NUM,COMPANY_NAME,CEO,VENTURE_TYPE,LOCATION,TYPE,TYPE_DETAIL,VENTURE_START_DATE,VENTURE_END_DATE
86,주식회사 알지에이아이엔씨,김**,연구개발유형,서울,연구개발서비스,AI 및 로보틱스 기술 기반 사족보행 로봇 연구 · 개발,20260324,20290323
87,더닿음,김**,혁신성장유형,경기,제조업,화장품,20260324,20290323
88,주식회사 일정문구,김**,혁신성장유형,서울,도소매업,캐릭터 문구류,20260324,20290323
89,주식회사 디에스테크노,신**,혁신성장유형,경기,제조업,감속기,20260324,20290323
90,브레멘 F&B,"김**,이**",혁신성장유형,경기,제조업,곱대창전골,20260324,20290323
91,주식회사 윤성앤홈,유**,혁신성장유형,경기,건설운수,주거용 건물건설업,20260324,20290323
92,주식회사 무한에너지,권**,혁신성장유형,경기,제조업,태양광 시스템 발전소,20260324,20290323
93,주식회사 삼성종합건설,"김**,백**",혁신성장유형,전북,건설운수,건축공사 및 안전 서비스 시스템,20260324,20290323
94,주식회사 케이에스 에벤에셀 어업회사법인,"손**,강**",벤처투자유형,충남,"농,어,임,광업",수산물 부화 및 수산종자 생산업,20260324,20290323
95,주식회사 아이콘링크,박**,혁신성장유형,경기,도소매업,"저속노화 식품, 건강식품, 뻥튀기,캔디,카라멜, 전통과자 ",20260324,20290323
96,주식회사 케이에스 마린바이오텍,"손**,강**",벤처투자유형,충남,제조업,"PN, PDRN",20260324,20290323
97,주식회사 조광테크,조**,혁신성장유형,경남,제조업,폴리스티렌 발포 성형제품 제조업,20260324,20290323
98,주식회사 세라썸,김**,혁신성장유형,경기,연구개발서비스,세라믹 재료,20260324,20290323
99,주식회사 유제이플러스,김**,혁신성장유형,제주,제조업,"감귤칩, 그레놀라",20260324,20290323
100,주식회사 해솔,이**,혁신성장유형,경기,제조업,무인단속카메라함체 금속가공품,20260324,20290323
101,주식회사 스마트플로텍,이**,혁신성장유형,충북,제조업,폴리우레아 수지 제조 및 방수 공사,20260324,20290323
102,주식회사 액시온베스트,서**,벤처투자유형,대구,도소매업,기관용 금융상품 투자,20260324,20290323
103,농업회사법인 한둘푸드 주식회사(지점),"신**,이**",혁신성장유형,인천,제조업,두부로 만든면,20260324,20290323
104,주식회사 아이넥스,장**,혁신성장유형,경북,제조업,영상감시장치 외,20260324,20290323
105,주식회사 삼흥,"유**,김**",혁신성장유형,경기,제조업,"배전반, 분전반 기타 기계 케이스, 기계 부품",20260324,20290323
106,주식회사 제이피무역,김**,벤처투자유형,경기,도소매업,콘크리트펌프카부품제조업,20260324,20290323
107,농업회사법인주식회사한울,이**,혁신성장유형,충남,제조업,구운계란,20260324,20290323
108,주식회사 브이나인,이**,벤처투자유형,서울,도소매업,금융 IT 서비스 시스템,20260324,20290323
109,주식회사 메지온,박**,벤처투자유형,서울,연구개발서비스,"사료/ 발기부전증치료제, 폰탄치료제등연구개발",20260324,20290323
110,주식회사 디앤에스산업,차**,혁신성장유형,경기,제조업,"소변기 감지기 ,센서 ",20260324,20290323
111,주식회사 루멘룩스,임**,혁신성장유형,경기,제조업,LED BAR 모듈 램프 SMPS,20260324,20290323
112,(주)바오밥케어,김**,혁신성장유형,충북,제조업,어린이 층간소음 방지매트,20260324,20290323
113,주식회사트루필,김**,벤처투자유형,경기,제조업,건강식품 배합환 (동명정환),20260324,20290323
114,아틀리에엑스(주)(ATELIER X Inc.),박**,혁신성장유형,서울,제조업,"작품보관아트백, 캔버스, 원목올림액자프레임, 아크릴관액자",20260324,20290323
115,주식회사 라이프앤퍼즐,금**,혁신성장유형,경기,제조업,헤드웨어 살균건조기,20260324,20290323
116,다성피앤씨 주식회사,양**,혁신성장유형,충북,제조업,종이제품,20260324,20290323
117,주식회사금천산업개발,이**,혁신성장유형,경북,건설운수,"통신공사업 , 필터샤워기(특허)",20260324,20290323
118,주식회사 엔클레버,장**,혁신성장유형,대구,제조업,"산업기계 설계업, 플랜트 기자재 가공 및 제조업, 기계부품 가공업",20260324,20290323
119,주) 태경건설,"박**,이**",혁신성장유형,경기,건설운수,"도로시설물 보수,보강공사 등",20260324,20290323
120,참솔주식회사,문**,혁신성장유형,강원,제조업,"커피,농수산물건조",20260324,20290323
121,주식회사 대성축산,장**,혁신성장유형,인천,제조업,"한우부산물, 양념육",20260324,20290323
122,주식회사 케이미트솔루션,"이**,이**",혁신성장유형,서울,제조업,축산물 유통판매업,20260319,20290318
123,주식회사 한국이든,한**,혁신성장유형,경기,제조업,세탁세제,20260319,20290318
124,주식회사 와이케이엔텍,김**,혁신성장유형,대구,제조업,"자동차부품,전자부품,산업",20260319,20290318
125,주식회사 파람 (PARAM),임**,혁신성장유형,경기,제조업,컵 자동 세척기,20260319,20290318
126,스톤쓰(STONEss),석**,혁신성장유형,경남,제조업,진공펌프제조,20260319,20290318
127,페로,김**,혁신성장유형,경기,제조업,"태양광 충전설비, 휴대용 태양광 보조배터리",20260319,20290318
128,주식회사 더컴퍼니로고스,김**,혁신성장유형,경기,제조업,매장 운영용 디지털 사이니지 콘텐츠 관리 소프트웨어(CMS) 및 이를 기반으로 한 디지털 사이니지 운영 서비스,20260319,20290318
129,주식회사 장날에프앤디(F&D),남**,혁신성장유형,충북,제조업,식육가공제조업,20260319,20290318
130,주식회사 컴포지터,강**,혁신성장유형,서울,제조업,플라스틱 복합재,20260318,20290317
131,제론바이오(주),이**,연구개발유형,경기,연구개발서비스,"줄기세포 치료제 연구개발, 유전자검사 및 제대혈은행 운영",20260318,20290317
132,주식회사 포토링스,강**,벤처투자유형,경기,제조업,"반도체, 반도체 설계",20260318,20290317
133,주식회사 마루바이오,신**,혁신성장유형,경남,제조업,콜라겐스틱,20260318,20290317
134,코스탈리카,임**,혁신성장유형,강원,제조업,테라코타와 전통 옹기토를 이용한 테이블웨어와 옹기 발효음료,20260318,20290317
135,주식회사 메탈플러스,장**,혁신성장유형,경기,제조업,금속도장 및 피막처리업(발색),20260318,20290317
136,주식회사 제이비홈,서**,혁신성장유형,서울,제조업,주방용품,20260318,20290317
137,주식회사 엔텍디바이스코리아,김**,혁신성장유형,서울,제조업,전자부품,20260318,20290317
138,주식회사 무아행 (MAH),김**,벤처투자유형,대구,제조업,"식이섬유정1000, 논업커피",20260318,20290317
139,주식회사 이에스 에르마나,채**,혁신성장유형,서울,제조업,여성의류,20260318,20290317
140,꿈틀식품,박**,혁신성장유형,경기,제조업,고춧가루/참기름/들기름,20260318,20290317
141,주식회사 뿌리텍,"안**,최**,박**",혁신성장유형,경기,제조업,화장품 충포장 장비,20260318,20290317
142,주식회사 마스텍,장**,혁신성장유형,경기,제조업,"LED 조명, 태양광발전장치",20260318,20290317
143,디피엔에스,윤**,혁신성장유형,경기,제조업,"전자칠판, LED 전광판",20260318,20290317
144,(주)삼호인터내셔널,김**,혁신성장유형,경기,제조업,"전자제품,전자제품,무역업",20260318,20290317
145,농업회사법인 마미팜 주식회사,이**,혁신성장유형,경기,제조업,데이터 기반 로스율(Loss) 최적화 공정 기술을 적용한 고정밀 포션 육가공품,20260318,20290317
146,코리아스틸파워 주식회사,주**,혁신성장유형,경남,제조업,쵸크/밸브/펌프,20260318,20290317
147,우주웰보드,이**,혁신성장유형,인천,제조업,PS보드 제조,20260318,20290317
148,주식회사곡천조경,김**,혁신성장유형,경북,제조업,"퍼걸러, 데크",20260318,20290317
149,유한회사 아이쏠루션,김**,혁신성장유형,전북,제조업,섬유단열재 (진공단열재),20260318,20290317
150,주식회사 트러스트키,이**,벤처투자유형,경북,제조업,FIDO,20260318,20290317
151,주식회사 제이디솔루션,이**,혁신성장유형,경기,제조업, 컴퓨터 ,20260318,20290317
152,(주)한국고압기술,김**,혁신성장유형,부산,제조업,압역시험용장비,20260318,20290317
153,주식회사 케이엠로스터스,권**,혁신성장유형,부산,제조업,커피 가공제조,20260318,20290317
154,주식회사 아르메스,신**,혁신성장유형,경기,제조업,신발(구두류) 제조 및 리워드 플랫폼 개발,20260318,20290317
155,주식회사 에이디솔루션,박**,혁신성장유형,서울,제조업,화장품,20260318,20290317
156,주식회사 지에이치메디컬홀딩스,길**,벤처투자유형,경기,도소매업,기저귀 위생용품 도소매,20260318,20290317
157,주식회사 드림텍,"문**,성**",혁신성장유형,경기,제조업,자동필터생산기계,20260318,20290317
158,주식회사 아이엠제이샤인,김**,벤처투자유형,서울,도소매업,아동복제조,20260318,20290317
159,주식회사 잇츠쏘미,최**,혁신성장유형,서울,제조업,화장품,20260318,20290317
160,주식회사 에스에이엘엠,김**,벤처투자유형,경기,제조업,"전자장치, 소프트웨어, 의류",20260318,20290317
161,주식회사 넥스오토,임**,혁신성장유형,광주,제조업,자동차차체부품,20260318,20290317
162,(주)룩소르,박**,혁신성장유형,인천,건설운수,주거용건물건설,20260318,20290317
163,주식회사 에이앤이컴퍼니,안**,벤처투자유형,서울,제조업,의류,20260318,20290317
164,주식회사 아이존스,정**,벤처투자유형,서울,제조업,무선통신장비,20260318,20290317
165,송월대상(주),이**,혁신성장유형,서울,제조업,타올,20260317,20290316
166,더건강한 주식회사,"강**,임**",혁신성장유형,충남,제조업,생강청,20260317,20290316
167,주식회사 알엠생명과학,김**,혁신성장유형,서울,제조업,의료기기,20260317,20290316
168,주식회사 댄프,진**,벤처투자유형,충북,제조업,의류,20260317,20290316
169,유한회사 에이엠피,안**,혁신성장유형,전남,제조업,"비철금속, 알루미늄, 파이프,합성수지플라스틱 가공 및 제조,비철금속 임가공,산업용 특수목적기계 제조 및 설치,이차전지 관련 자재부품 제조 및 도소매,전자재",20260317,20290316
170,이엠아이 주식회사,문**,혁신성장유형,경기,건설운수,Stoker 소각로,20260317,20290316
171,해드림에너지(주),박**,혁신성장유형,대전,제조업,태양광발전장치,20260317,20290316
172,주식회사 엘에스솔루션,임**,혁신성장유형,전남,제조업,"단미사료, 보조사료, 종자(가축정액), 축산기자재",20260317,20290316
173,주식회사 젠투워크,서**,혁신성장유형,경기,제조업,기능성 신발,20260317,20290316
174,주식회사 나나플러스홈,윤**,혁신성장유형,경기,제조업,인테리어용가구 제조업,20260317,20290316
175,주식회사 쏠커머스,박**,혁신성장유형,서울,제조업,K-POP 굿즈,20260317,20290316
176,다산조명,박**,혁신성장유형,충북,제조업,"실내용LED등기구, 실외용LED등기구",20260317,20290316
177,(주)큐쓰리모션랩,박**,혁신성장유형,경기,연구개발서비스,전자멀미약,20260317,20290316
178,아델라인그룹 주식회사,윤**,혁신성장유형,서울,제조업,화장품 제조 유통,20260317,20290316
179,삼성환경 주식회사,허**,연구개발유형,전남,제조업,수처리기계,20260317,20290316
180,주식회사 청아람,오**,혁신성장유형,인천,제조업,돈육제품즉석식품,20260317,20290316
181,주식회사 반워크코리아,정**,혁신성장유형,경기,제조업,가방,20260317,20290316
182,크리에이티브아트,이**,혁신성장유형,광주,도소매업,업사이클  악기 판매,20260317,20290316
183,액티브펫,이**,혁신성장유형,경기,제조업,반려동물 기능성 간식,20260317,20290316
184,주식회사 우제산업,이**,혁신성장유형,경기,제조업,"산업용 건조기, 자동포장기계",20260317,20290316
185,주식회사 청룡의에너지,손**,혁신성장유형,경북,제조업,"전기수배전반 및 자동제어, 태양광 구조물 제조",20260317,20290316
186,주식회사 아이언,정**,혁신성장유형,경기,제조업,"2차전지, 반도체장비",20260317,20290316
187,(주)제이엔비엔지니어링,주**,혁신성장유형,경기,제조업,"토목,건축 드레인벨트 배수자재",20260317,20290316
188,주식회사성국정공,이**,혁신성장유형,경기,제조업,전자부품 제조,20260317,20290316
189,주식회사 앰플리,김**,벤처투자유형,서울,제조업,"초고감도 바이오 AI 진단 기술 기반, 영유아 영양 모니터링 스마트 기저귀",20260317,20290316
190,에코션(ECOCEAN),이**,혁신성장유형,부산,제조업,"어망 및 어구, 방오 도료 및 기능성 도료, 기술 컨설팅",20260317,20290316
191,주식회사 케이랜드,유**,혁신성장유형,경남,제조업,주방용 전기기기,20260317,20290316
192,논(NONE),윤**,혁신성장유형,대전,제조업,금속제조 귀금속 및 장신구 ,20260317,20290316
193,코셀로 주식회사,조**,혁신성장유형,경북,연구개발서비스,"교육용 로봇, 다관절 산업용 로봇",20260317,20290316
194,와이와이 주식회사(YY Inc.),장**,혁신성장유형,경기,제조업,플라스틱 사출,20260317,20290316
195,주식회사 비아이테크,강**,혁신성장유형,전남,제조업,"LED가로등기구,보안등기구,LED투광등기구,LED경관조명,가로등,조명타워,태양광가로등 등등",20260317,20290316
196,주식회사 유성드림,유**,혁신성장유형,경기,제조업,인쇄물 제작,20260317,20290316
197,바이오퀄 얼터너티브,박**,혁신성장유형,충북,제조업,"친환경 소재, 친환경 봉투, 친환경 필름",20260317,20290316
198,부즈앤버즈 주식회사,유**,벤처투자유형,서울,제조업,가정용 자동 양조 기기,20260317,20290316
199,성원로봇 주식회사,송**,혁신성장유형,경기,제조업,자동화 로봇 ,20260317,20290316
200,주식회사 디엔씨,송**,벤처투자유형,충남,도소매업,"반려동물 하드웨어, PB상품(영양제) 등",20260317,20290316
201,주식회사 위드테크,나**,벤처투자유형,경기,건설운수,"냉,난방기 FCU",20260317,20290316
202,주식회사 더좋은사람,김**,혁신성장유형,경기,제조업,"e모빌리티, led iot배달박스",20260311,20290310
203,주식회사 디테일,정**,혁신성장유형,부산,제조업,층간소음 저감장치 설치자재,20260311,20290310
204,농업회사법인보석푸드주식회사,김**,혁신성장유형,경남,제조업,"농산물 가공,기타 과실ㆍ채소 가공 및 저장 처리업,식품제조가공,기타 산업용 기계 및 장비 임대업",20260311,20290310
205,주식회사 동호로보틱스,김**,혁신성장유형,대구,제조업,산업용 로봇 자동화 시스템 및 PLC 제어 솔루션,20260311,20290310
206,주식회사 올컴,장**,혁신성장유형,경북,제조업,스마트 텀블러,20260311,20290310
207,주식회사 케이에이치글로벌한방,"정**,문**",벤처투자유형,서울,연구개발서비스,"건강기능식품, 건강식품",20260311,20290310
208,주식회사 시퀀스인터내셔널,이**,혁신성장유형,서울,제조업,화장품,20260311,20290310
209,주식회사 성공무역,정**,혁신성장유형,부산,도소매업,"냉동수산물,가공식품 도소매 및 수입 ",20260311,20290310
